age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
44,entrepreneur,married,basic.4y,unknown,no,no,telephone,jun,tue,48,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
32,services,divorced,high.school,unknown,yes,no,cellular,may,fri,133,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
53,admin.,divorced,university.degree,no,yes,no,telephone,mar,thu,262,1,999,2,failure,-1.8,93.369,-34.8,0.654,5008.7,no
37,services,married,high.school,no,no,no,cellular,may,tue,124,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
30,blue-collar,single,unknown,no,no,yes,telephone,jun,thu,262,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
39,admin.,single,university.degree,no,yes,no,cellular,aug,wed,2191,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
39,housemaid,married,basic.9y,no,yes,no,telephone,may,wed,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
36,blue-collar,married,basic.9y,no,yes,no,telephone,jun,thu,67,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
43,admin.,married,high.school,unknown,no,no,cellular,may,wed,431,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
62,technician,married,unknown,no,no,no,cellular,mar,mon,105,2,999,0,nonexistent,-1.8,93.369,-34.8,0.646,5008.7,no
39,technician,married,university.degree,no,yes,no,cellular,oct,fri,141,1,7,2,failure,-3.4,92.431,-26.9,0.739,5017.5,no
32,admin.,single,university.degree,no,yes,no,cellular,aug,tue,96,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
28,technician,divorced,university.degree,no,yes,no,cellular,jul,wed,136,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
35,blue-collar,divorced,basic.9y,no,no,no,cellular,may,fri,409,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,yes
22,blue-collar,single,basic.4y,no,yes,no,telephone,nov,thu,16,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
58,technician,divorced,unknown,unknown,yes,no,cellular,jul,tue,261,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
40,technician,single,professional.course,no,yes,no,cellular,aug,wed,142,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
40,services,married,high.school,no,yes,no,cellular,apr,tue,158,2,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
38,technician,divorced,high.school,no,yes,yes,cellular,apr,thu,279,3,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
23,student,single,high.school,no,no,no,cellular,apr,mon,400,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
32,management,married,professional.course,unknown,no,no,cellular,jul,mon,565,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
41,management,single,university.degree,no,no,no,cellular,jul,tue,200,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
45,entrepreneur,divorced,university.degree,no,unknown,unknown,cellular,may,fri,61,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
60,retired,married,university.degree,unknown,yes,no,telephone,may,fri,576,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
35,technician,married,basic.9y,no,no,no,cellular,may,tue,580,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
29,admin.,married,university.degree,no,no,no,cellular,nov,wed,406,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
45,blue-collar,married,basic.4y,no,no,no,telephone,jul,fri,407,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
23,blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,250,4,999,1,failure,-1.7,94.215,-40.3,0.846,4991.6,yes
51,admin.,married,basic.6y,no,no,yes,cellular,may,mon,228,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
31,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,1462,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
31,admin.,single,university.degree,no,yes,no,cellular,nov,fri,54,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
68,retired,married,professional.course,no,unknown,unknown,cellular,may,thu,237,7,999,2,failure,-1.8,93.876,-40,0.692,5008.7,no
31,admin.,single,university.degree,no,yes,no,cellular,may,wed,157,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
37,blue-collar,single,basic.9y,unknown,no,no,telephone,may,fri,121,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
43,admin.,married,university.degree,no,yes,no,cellular,mar,fri,111,3,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,no
44,admin.,single,professional.course,no,yes,no,cellular,may,mon,105,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
53,unknown,married,high.school,unknown,no,no,telephone,jun,mon,313,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
49,unemployed,married,professional.course,no,yes,no,cellular,jun,tue,298,3,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,no
55,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,tue,266,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
31,technician,single,professional.course,no,yes,no,cellular,aug,thu,126,10,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
35,admin.,divorced,university.degree,no,yes,no,cellular,jul,tue,826,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
41,technician,single,university.degree,no,no,no,telephone,jun,mon,382,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
52,retired,married,high.school,unknown,no,no,telephone,jun,fri,181,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
27,admin.,single,university.degree,unknown,no,no,cellular,jul,mon,200,6,999,0,nonexistent,-1.7,94.215,-40.3,0.827,4991.6,no
58,retired,married,basic.4y,no,no,no,telephone,sep,wed,180,1,999,0,nonexistent,-3.4,92.379,-29.8,0.781,5017.5,no
50,admin.,married,high.school,no,no,no,telephone,nov,mon,117,5,999,0,nonexistent,-3.4,92.649,-30.1,0.722,5017.5,no
29,services,single,basic.9y,no,no,no,telephone,may,thu,159,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
42,admin.,married,basic.9y,no,yes,yes,telephone,may,tue,267,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
27,admin.,single,university.degree,no,yes,no,telephone,may,wed,582,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,admin.,single,unknown,no,yes,no,telephone,jul,tue,876,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,yes
44,admin.,married,high.school,no,no,no,cellular,may,fri,127,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
39,blue-collar,divorced,basic.6y,unknown,yes,yes,telephone,may,wed,32,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
30,technician,married,university.degree,unknown,no,no,telephone,jun,thu,189,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
51,admin.,single,basic.6y,no,no,no,telephone,may,tue,222,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
58,blue-collar,married,unknown,unknown,yes,no,cellular,aug,fri,101,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,admin.,divorced,university.degree,no,no,yes,cellular,aug,mon,119,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
30,admin.,single,university.degree,no,yes,no,cellular,aug,wed,105,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
38,admin.,single,university.degree,no,yes,no,cellular,jun,mon,318,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
